year,State Code,state_name,Dist Name,Crop,area_1000_ha,production_1000_tons,yield_kg_per_ha
2016,14,CHHATTISGARH,Durg,RICE,858.91,1791.66,2085.96
2016,14,CHHATTISGARH,Durg,SAFFLOWER,0.08,0.03,349.4
2016,14,CHHATTISGARH,Durg,SESAMUM,2.06,0.78,377.4
2016,14,CHHATTISGARH,Durg,SOYABEAN,81.71,60.69,742.71
2016,14,CHHATTISGARH,Durg,SUGARCANE,18.52,7.21,389.38
2016,14,CHHATTISGARH,Durg,SUNFLOWER,0.02,0,0
2016,14,CHHATTISGARH,Durg,WHEAT,48.94,61.84,1263.55
2017,14,CHHATTISGARH,Durg,COTTON,0.45,0.13,297.85
2017,14,CHHATTISGARH,Durg,GROUNDNUT,0.45,0.77,1722.94
2017,14,CHHATTISGARH,Durg,OILSEEDS,0,0,0
2017,14,CHHATTISGARH,Durg,RAPESEED AND MUSTARD,4.7,2,425.21
2017,14,CHHATTISGARH,Durg,RICE,841.13,983.21,1168.92
2017,14,CHHATTISGARH,Durg,SAFFLOWER,0.29,0.12,395.19
2017,14,CHHATTISGARH,Durg,SESAMUM,1.8,0.49,273.92
2017,14,CHHATTISGARH,Durg,SOYABEAN,77.4,25.02,323.3
2017,14,CHHATTISGARH,Durg,SUGARCANE,19.85,3.59,181.06
2017,14,CHHATTISGARH,Durg,SUNFLOWER,0.01,0,0
2017,14,CHHATTISGARH,Durg,WHEAT,43.5,50.19,1153.77
2010,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2010,14,CHHATTISGARH,Bastar,GROUNDNUT,0,0,0
2010,14,CHHATTISGARH,Bastar,OILSEEDS,24.23,7.35,303.34
2010,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,5.9,2.6,440.68
2010,14,CHHATTISGARH,Bastar,RICE,621.89,1184.98,1905.45
2010,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2010,14,CHHATTISGARH,Bastar,SESAMUM,2.44,1.01,413.93
2010,14,CHHATTISGARH,Bastar,SOYABEAN,0,0,0
2010,14,CHHATTISGARH,Bastar,SUGARCANE,1.02,0.12,117.65
2010,14,CHHATTISGARH,Bastar,SUNFLOWER,0.03,0.02,666.67
2010,14,CHHATTISGARH,Bastar,WHEAT,1.6,3.2,2000
2011,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2011,14,CHHATTISGARH,Bastar,GROUNDNUT,0.01,0.01,1000
2011,14,CHHATTISGARH,Bastar,OILSEEDS,22.57,7.5,332.3
2011,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,5.03,2.9,576.54
2011,14,CHHATTISGARH,Bastar,RICE,627.73,772.88,1231.23
2011,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2011,14,CHHATTISGARH,Bastar,SESAMUM,2.81,1.27,451.96
2011,14,CHHATTISGARH,Bastar,SOYABEAN,0.03,0.03,1000
2011,14,CHHATTISGARH,Bastar,SUGARCANE,0.54,0.34,629.63
2011,14,CHHATTISGARH,Bastar,SUNFLOWER,0.07,0.01,142.86
2011,14,CHHATTISGARH,Bastar,WHEAT,1.33,2.49,1872.18
2012,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2012,14,CHHATTISGARH,Bastar,GROUNDNUT,0.02,0.03,1500
2012,14,CHHATTISGARH,Bastar,OILSEEDS,21.95,7.1,323.46
2012,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,5,2.93,586
2012,14,CHHATTISGARH,Bastar,RICE,637.8,1341.33,2103.06
2012,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2012,14,CHHATTISGARH,Bastar,SESAMUM,2.74,0.85,310.22
2012,14,CHHATTISGARH,Bastar,SOYABEAN,0.03,0.04,1333.33
2012,14,CHHATTISGARH,Bastar,SUGARCANE,0.45,0.16,355.56
2012,14,CHHATTISGARH,Bastar,SUNFLOWER,0.05,0.01,200
2012,14,CHHATTISGARH,Bastar,WHEAT,1.25,2.47,1976
2013,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2013,14,CHHATTISGARH,Bastar,GROUNDNUT,0.03,0.05,1666.67
2013,14,CHHATTISGARH,Bastar,OILSEEDS,20.29,6.67,328.73
2013,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,4.85,2.9,597.94
2013,14,CHHATTISGARH,Bastar,RICE,642.79,1265.91,1969.4
2013,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2013,14,CHHATTISGARH,Bastar,SESAMUM,2.02,0.56,277.23
2013,14,CHHATTISGARH,Bastar,SOYABEAN,0.01,0.01,1000
2013,14,CHHATTISGARH,Bastar,SUGARCANE,0.52,0.14,269.23
2013,14,CHHATTISGARH,Bastar,SUNFLOWER,0.01,0,0
2013,14,CHHATTISGARH,Bastar,WHEAT,0.97,1.75,1804.12
2014,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2014,14,CHHATTISGARH,Bastar,GROUNDNUT,0.03,0.04,1333.33
2014,14,CHHATTISGARH,Bastar,OILSEEDS,21.21,7.06,332.86
2014,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,4.92,2.82,573.17
2014,14,CHHATTISGARH,Bastar,RICE,646.7,1377.04,2129.33
2014,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2014,14,CHHATTISGARH,Bastar,SESAMUM,2.84,1.15,404.93
2014,14,CHHATTISGARH,Bastar,SOYABEAN,0.03,0.03,1000
2014,14,CHHATTISGARH,Bastar,SUGARCANE,0.61,0.33,540.98
2014,14,CHHATTISGARH,Bastar,SUNFLOWER,0.05,0.01,200
2014,14,CHHATTISGARH,Bastar,WHEAT,0.81,1.86,2296.3
2015,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2015,14,CHHATTISGARH,Bastar,GROUNDNUT,0.06,0.09,1500
2015,14,CHHATTISGARH,Bastar,OILSEEDS,19.05,5.54,290.81
2015,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,4.03,2.58,640.2
2015,14,CHHATTISGARH,Bastar,RICE,644.56,664.46,1030.87
2015,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
